"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-10,2.7275,-0.00936683459076044,-102.699098206948
-10,2.728,-0.00936851558529463,-102.718018274177
-10,2.7285,-0.00937019671700958,-102.736938376092
-10,2.729,-0.0093718779858745,-102.755858512686
-10,2.7295,-0.00937355939185276,-102.77477868395
-10,2.73,-0.00937524093490583,-102.793698889876
-10,2.7305,-0.00937692261500098,-102.812619130455
-10,2.731,-0.00937860443210256,-102.831539405679
-10,2.7315,-0.00938028638617108,-102.85045971554
-10,2.732,-0.00938196847717281,-102.869380060029
-10,2.7325,-0.00938365070506924,-102.888300439137
-10,2.733,-0.00938533306982761,-102.907220852857
-10,2.7335,-0.00938701557141229,-102.92614130118
-10,2.734,-0.00938869820978087,-102.945061784097
-10,2.7345,-0.00939038098490449,-102.963982301601
-10,2.735,-0.00939206389674073,-102.982902853682
-10,2.7355,-0.0093937469452559,-103.001823440333
-10,2.736,-0.00939543013041532,-103.020744061544
-10,2.7365,-0.00939711345217851,-103.039664717307
-10,2.737,-0.00939879691051178,-103.058585407615
-10,2.7375,-0.00940048050537659,-103.077506132458
-10,2.738,-0.00940216423673923,-103.096426891828
-10,2.7385,-0.00940384810455634,-103.115347685716
-10,2.739,-0.00940553210880095,-103.134268514115
-10,2.7395,-0.0094072162494278,-103.153189377015
-10,2.74,-0.00940890052640219,-103.172110274408
-10,2.7405,-0.00941058493969042,-103.191031206285
-10,2.741,-0.00941226948925105,-103.209952172639
-10,2.7415,-0.00941395417505232,-103.22887317346
-10,2.742,-0.00941563899705086,-103.247794208741
-10,2.7425,-0.00941732395521295,-103.266715278471
-10,2.743,-0.00941900904950296,-103.285636382644
-10,2.7435,-0.00942069427988138,-103.30455752125
-10,2.744,-0.00942237964630969,-103.323478694282
-10,2.7445,-0.00942406514875321,-103.342399901729
-10,2.745,-0.0094257507871705,-103.361321143585
-10,2.7455,-0.00942743656153075,-103.380242419839
-10,2.746,-0.00942912247179157,-103.399163730485
-10,2.7465,-0.00943080851791731,-103.418085075512
-10,2.747,-0.00943249469987041,-103.437006454914
-10,2.7475,-0.00943418101761136,-103.45592786868
-10,2.748,-0.00943586747110259,-103.474849316803
-10,2.7485,-0.00943755406030943,-103.493770799273
-10,2.749,-0.00943924078519238,-103.512692316083
-10,2.7495,-0.00944092764571,-103.531613867223
-10,2.75,-0.00944261464183052,-103.550535452686
-10,2.7505,-0.0094443017735125,-103.569457072462
-10,2.751,-0.00944598904071934,-103.588378726542
-10,2.7515,-0.00944767644341154,-103.607300414919
-10,2.752,-0.00944936398155152,-103.626222137584
-10,2.7525,-0.00945105165510171,-103.645143894527
-10,2.753,-0.00945273946402455,-103.664065685741
-10,2.7535,-0.00945442740827957,-103.682987511217
-10,2.754,-0.00945611548783402,-103.701909370945
-10,2.7545,-0.00945780370264261,-103.720831264918
-10,2.755,-0.00945949205266777,-103.739753193126
-10,2.7555,-0.00946118053787386,-103.758675155561
-10,2.756,-0.0094628691582233,-103.777597152215
-10,2.7565,-0.00946455791367756,-103.796519183079
-10,2.757,-0.00946624680419135,-103.815441248143
-10,2.7575,-0.00946793582973675,-103.8343633474
-10,2.758,-0.00946962499026557,-103.85328548084
-10,2.7585,-0.00947131428574603,-103.872207648455
-10,2.759,-0.00947300371613283,-103.891129850236
-10,2.7595,-0.00947469328139614,-103.910052086175
-10,2.76,-0.00947638298148775,-103.928974356262
-10,2.7605,-0.00947807281637492,-103.947896660489
-10,2.761,-0.00947976278601623,-103.966818998848
-10,2.7615,-0.00948145289037119,-103.985741371329
-10,2.762,-0.00948314312940708,-104.004663777924
-10,2.7625,-0.00948483350307665,-104.023586218624
